,NLS Time (ET),NLS Price,NLS Share Volume
1,09:59:59,$ 3456.00,100
2,09:59:55,$ 3456.42,100
3,09:59:53,$ 3455.97,150
4,09:59:51,$ 3455.90,150
5,09:59:49,$ 3455.50,100
6,09:59:36,$ 3455.00,100
7,09:59:36,$ 3455.00,138
8,09:59:34,$ 3455.00,100
9,09:59:27,$ 3454.49,147
10,09:59:27,$ 3454.49,185
11,09:59:27,$ 3454.48,100
12,09:59:26,$ 3455.75,200
13,09:59:26,$ 3454.20,492
14,09:59:25,$ 3454.10,150
15,09:59:03,$ 3454.92,100
16,09:59:03,$ 3455.07,100
17,09:58:55,$ 3456.98,100
18,09:58:54,$ 3455.50,123
19,09:58:54,$ 3455.50,155
20,09:58:48,$ 3453.01,100
22,09:58:35,$ 3454.00,100
23,09:58:35,$ 3456.10,100
24,09:58:34,$ 3455.00,168
25,09:58:34,$ 3455.00,108
26,09:58:34,$ 3455.00,198
27,09:58:27,$ 3453.79,100
28,09:58:19,$ 3454.495,100
29,09:58:15,$ 3454.50,100
30,09:58:13,$ 3454.78,100
31,09:58:13,$ 3454.78,100
32,09:58:10,$ 3456.45,100
33,09:58:10,$ 3456.375,100
34,09:58:10,$ 3456.395,100
35,09:58:10,$ 3456.44,100
36,09:58:10,$ 3457.175,100
37,09:58:00,$ 3457.17,100
38,09:57:57,$ 3457.6284,300
39,09:57:39,$ 3455.03,100
40,09:57:27,$ 3454.20,100
41,09:57:27,$ 3454.605,100
43,09:57:26,$ 3455.24,100
44,09:57:22,$ 3455.55,100
45,09:57:20,$ 3455.55,100
46,09:57:20,$ 3455.55,100
47,09:57:18,$ 3457.39,100
48,09:57:15,$ 3456.70,100
49,09:57:15,$ 3456.71,100
50,09:57:07,$ 3455.80,100
51,09:57:05,$ 3455.5628,300
52,09:57:03,$ 3456.72,100
53,09:57:03,$ 3456.70,100
54,09:57:03,$ 3456.685,100
55,09:57:03,$ 3456.77,100
56,09:56:54,$ 3455.75,131
57,09:56:54,$ 3455.75,100
58,09:56:54,$ 3455.75,329
59,09:56:54,$ 3456.255,100
60,09:56:54,$ 3455.7501,100
61,09:56:54,$ 3456.87,159
62,09:56:44,$ 3456.68,100
64,09:56:43,$ 3455.75,100
65,09:56:40,$ 3454.045,100
66,09:56:37,$ 3453.09,200
67,09:56:36,$ 3454.89,150
68,09:56:33,$ 3454.02,200
69,09:56:32,$ 3454.95,100
70,09:56:27,$ 3453.0401,100
71,09:56:26,$ 3453.65,200
72,09:56:26,$ 3452.91,200
73,09:56:26,$ 3453.04,200
74,09:56:26,$ 3453.00,100
75,09:56:23,$ 3451.06,100
76,09:56:20,$ 3451.06,100
77,09:56:19,$ 3451.93,100
78,09:56:19,$ 3451.93,100
79,09:56:18,$ 3451.11,100
80,09:56:18,$ 3451.50,100
81,09:56:06,$ 3450.37,100
82,09:56:06,$ 3450.71,100
83,09:56:06,$ 3449.77,330
85,09:56:05,$ 3449.26,100
86,09:56:05,$ 3449.26,100
87,09:56:05,$ 3449.26,100
88,09:55:59,$ 3449.26,100
89,09:55:59,$ 3449.26,100
90,09:55:45,$ 3449.26,100
91,09:55:42,$ 3448.95,100
92,09:55:35,$ 3448.5793,500
93,09:55:28,$ 3447.865,100
94,09:55:28,$ 3448.34,100
95,09:55:24,$ 3448.19,100
96,09:55:24,$ 3448.24,100
97,09:55:21,$ 3446.823,403
98,09:55:18,$ 3446.59,100
99,09:55:18,$ 3446.61,100
100,09:55:18,$ 3446.66,100
101,09:55:14,$ 3446.1432,100
102,09:54:59,$ 3447.93,100
103,09:54:56,$ 3448.3535,100
104,09:54:51,$ 3447.48,100
106,09:54:51,$ 3447.35,166
107,09:54:51,$ 3447.35,100
108,09:54:43,$ 3447.01,100
109,09:54:34,$ 3448.2376,349
110,09:54:32,$ 3447.71,100
111,09:54:32,$ 3447.10,100
112,09:54:32,$ 3448.40,100
113,09:54:32,$ 3447.755,100
114,09:54:26,$ 3447.875,100
115,09:54:19,$ 3449.40,100
116,09:54:11,$ 3449.82,100
117,09:54:09,$ 3449.74,200
118,09:54:09,$ 3450.66,100
119,09:54:09,$ 3450.00,100
120,09:54:09,$ 3450.66,100
121,09:54:09,$ 3450.33,100
122,09:53:51,$ 3451.60,100
123,09:53:50,$ 3453.75,100
124,09:53:49,$ 3452.4201,100
125,09:53:30,$ 3453.40,100
127,09:53:26,$ 3454.32,100
128,09:53:23,$ 3454.06,100
129,09:53:18,$ 3453.2839,100
130,09:53:13,$ 3454.59,100
131,09:53:09,$ 3454.69,100
132,09:53:06,$ 3454.69,100
133,09:53:04,$ 3454.679,400
134,09:53:03,$ 3453.79,100
135,09:53:03,$ 3453.88,100
136,09:52:56,$ 3453.75,100
137,09:52:47,$ 3454.905,100
138,09:52:43,$ 3455.5286,300
139,09:52:32,$ 3455.75,100
140,09:52:27,$ 3455.86,100
141,09:51:59,$ 3456.35,100
142,09:51:25,$ 3454.10,100
143,09:51:13,$ 3455.34,100
144,09:51:13,$ 3455.33,100
145,09:51:13,$ 3455.33,100
146,09:51:09,$ 3455.33,100
148,09:51:09,$ 3456.4187,100
149,09:51:07,$ 3457.06,100
150,09:51:02,$ 3454.18,100
151,09:51:02,$ 3454.23,100
152,09:50:45,$ 3454.09,100
153,09:50:43,$ 3453.63,100
154,09:50:39,$ 3453.5046,100
155,09:50:25,$ 3452.50,100
156,09:50:25,$ 3452.98,100
157,09:50:20,$ 3452.02,350
158,09:50:10,$ 3453.00,100
159,09:50:05,$ 3453.6201,100
160,09:50:02,$ 3454.9826,100
161,09:49:53,$ 3455.65,100
162,09:49:53,$ 3455.89,100
163,09:49:46,$ 3457.115,100
164,09:49:43,$ 3457.735,200
165,09:49:34,$ 3457.915,100
166,09:49:34,$ 3457.915,100
167,09:49:26,$ 3457.94,100
169,09:49:21,$ 3457.38,200
170,09:49:21,$ 3457.39,100
171,09:49:19,$ 3456.145,100
172,09:49:04,$ 3455.85,100
173,09:49:04,$ 3455.85,100
174,09:49:04,$ 3455.85,100
175,09:49:04,$ 3455.82,100
176,09:49:04,$ 3455.60,100
177,09:48:42,$ 3454.96,100
178,09:48:41,$ 3453.89,100
179,09:48:40,$ 3453.88,100
180,09:48:35,$ 3453.885,488
181,09:48:20,$ 3453.73,100
182,09:48:10,$ 3453.71,100
183,09:48:10,$ 3454.54,100
184,09:48:10,$ 3453.086,250
185,09:48:04,$ 3452.805,100
186,09:48:02,$ 3452.21,100
187,09:48:00,$ 3451.4611,376
188,09:47:54,$ 3451.54,100
190,09:47:51,$ 3451.33,100
191,09:47:47,$ 3451.00,100
192,09:47:42,$ 3449.2401,100
193,09:47:40,$ 3450.12,100
194,09:47:40,$ 3449.30,100
195,09:47:28,$ 3449.18,100
196,09:47:22,$ 3447.73,600
197,09:47:21,$ 3448.135,300
198,09:47:21,$ 3449.23,100
199,09:47:21,$ 3449.07,116
200,09:47:17,$ 3447.91,100
201,09:47:17,$ 3447.91,300
202,09:47:14,$ 3447.56,200
203,09:47:14,$ 3447.56,200
204,09:47:12,$ 3447.56,200
205,09:47:12,$ 3447.56,200
206,09:47:12,$ 3448.15,100
207,09:47:11,$ 3448.15,200
208,09:47:11,$ 3448.15,115
209,09:47:07,$ 3448.15,100
211,09:47:07,$ 3448.15,100
212,09:47:04,$ 3448.425,100
213,09:47:04,$ 3448.1106,"1,000"
214,09:47:03,$ 3448.315,200
215,09:47:01,$ 3448.86,100
216,09:47:00,$ 3449.03,115
217,09:47:00,$ 3449.03,116
218,09:47:00,$ 3449.03,116
219,09:47:00,$ 3449.03,100
220,09:47:00,$ 3448.54,100
221,09:46:58,$ 3448.53,100
222,09:46:57,$ 3448.25,100
223,09:46:52,$ 3447.92,100
224,09:46:47,$ 3446.75,100
225,09:46:47,$ 3447.24,500
226,09:46:46,$ 3447.84,100
227,09:46:46,$ 3448.07,100
228,09:46:46,$ 3448.87,100
229,09:46:46,$ 3448.18,"1,000"
230,09:46:46,$ 3448.17,100
232,09:46:43,$ 3449.3687,100
233,09:46:35,$ 3449.7199,200
234,09:46:34,$ 3448.11,100
235,09:46:34,$ 3448.92,100
236,09:46:27,$ 3448.64,100
237,09:46:25,$ 3449.79,100
238,09:46:19,$ 3450.00,890
239,09:46:19,$ 3449.415,100
240,09:46:15,$ 3449.60,100
241,09:46:13,$ 3449.1107,100
242,09:46:03,$ 3448.58,100
243,09:46:03,$ 3449.99,100
244,09:46:03,$ 3449.77,100
245,09:46:03,$ 3448.90,100
