,Ticker,Date,Result,Price
0,ge,2022-01-03,Ok sell,96.24
1,intc,2022-01-03,Sell,53.21
2,nflx,2022-01-03,Buy,597.37
3,tsla,2022-01-03,Ok sell,1199.78
4,nvda,2022-01-03,Ok sell,301.21
5,ge,2022-01-04 00:00:00,Ok sell,99.37
6,intc,2022-01-04 00:00:00,Sell,53.14
7,nflx,2022-01-04 00:00:00,Buy,591.15
8,tsla,2022-01-04 00:00:00,Ok sell,1149.59
9,nvda,2022-01-04 00:00:00,Buy,292.9
10,baba,2022-01-05 00:00:00,Ok sell,121.16
11,ge,2022-01-05 00:00:00,Ok sell,99.37
12,intc,2022-01-05 00:00:00,Sell,53.87
13,nflx,2022-01-05 00:00:00,Buy,567.52
14,nvda,2022-01-05 00:00:00,Buy,276.04
15,baba,2022-01-06 00:00:00,Ok sell,126.63
16,ge,2022-01-06 00:00:00,Ok sell,99.95
17,intc,2022-01-06 00:00:00,Sell,54.01
18,nflx,2022-01-06 00:00:00,Buy,553.29
19,nvda,2022-01-06 00:00:00,Buy,281.78
20,baba,2022-01-06 00:00:00,Ok sell,126.63
21,ge,2022-01-06 00:00:00,Ok sell,99.95
22,intc,2022-01-06 00:00:00,Sell,54.01
23,nflx,2022-01-06 00:00:00,Buy,553.29
24,nvda,2022-01-06 00:00:00,Buy,281.78
25,baba,2022-01-07 00:00:00,Ok sell,129.81
26,ge,2022-01-07 00:00:00,Ok sell,101.4
27,intc,2022-01-07 00:00:00,Sell,53.44
28,nflx,2022-01-07 00:00:00,Buy,541.06
29,tsla,2022-01-07 00:00:00,Buy,1026.96
30,nvda,2022-01-07 00:00:00,Buy,272.47
31,baba,2022-01-07 00:00:00,Ok sell,129.81
32,ge,2022-01-07 00:00:00,Ok sell,101.4
33,intc,2022-01-07 00:00:00,Sell,53.44
34,nflx,2022-01-07 00:00:00,Buy,541.06
35,tsla,2022-01-07 00:00:00,Buy,1026.96
36,nvda,2022-01-07 00:00:00,Buy,272.47
37,baba,2022-01-10 00:00:00,Ok sell,128.3
38,intc,2022-01-10 00:00:00,Sell,55.21
39,nflx,2022-01-10 00:00:00,Buy,539.85
40,nvda,2022-01-10 00:00:00,Buy,274.0
41,baba,2022-01-11 00:00:00,Ok sell,132.19
42,ge,2022-01-11 00:00:00,Ok sell,101.79
43,intc,2022-01-11 00:00:00,Sell,55.91
44,nflx,2022-01-11 00:00:00,Buy,540.84
45,nvda,2022-01-11 00:00:00,Buy,278.17
46,baba,2022-01-12 00:00:00,Ok sell,137.41
47,ge,2022-01-12 00:00:00,Ok sell,102.24
48,intc,2022-01-12 00:00:00,Sell,55.74
49,nflx,2022-01-12 00:00:00,Buy,537.22
50,nvda,2022-01-12 00:00:00,Buy,279.99
51,baba,2022-01-13 00:00:00,Ok sell,131.37
52,ge,2022-01-13 00:00:00,Ok sell,102.46
53,nflx,2022-01-13 00:00:00,Buy,519.2
54,tsla,2022-01-13 00:00:00,Buy,1031.56
55,nvda,2022-01-13 00:00:00,Buy,265.75
56,baba,2022-01-14 00:00:00,Ok sell,131.57
57,ge,2022-01-14 00:00:00,Ok sell,103.16
58,intc,2022-01-14 00:00:00,Sell,55.7
59,nflx,2022-01-14 00:00:00,Buy,525.69
60,nvda,2022-01-14 00:00:00,Buy,269.42
61,baba,2022-01-14 00:00:00,Ok sell,131.57
62,ge,2022-01-14 00:00:00,Ok sell,103.16
63,intc,2022-01-14 00:00:00,Sell,55.7
64,nflx,2022-01-14 00:00:00,Buy,525.69
65,nvda,2022-01-14 00:00:00,Buy,269.42
66,ge,2022-01-18 00:00:00,Sell,102.89
67,nflx,2022-01-18 00:00:00,Buy,510.8
68,tsla,2022-01-18 00:00:00,Buy,1030.51
69,nvda,2022-01-18 00:00:00,Buy,259.03
70,nflx,2022-01-19 00:00:00,Buy,515.86
71,tsla,2022-01-19 00:00:00,Buy,995.65
72,amzn,2022-01-19 00:00:00,Ok buy,3125.98
73,nvda,2022-01-19 00:00:00,Buy,250.67
74,baba,2022-01-21 00:00:00,Ok buy,123.23
75,ge,2022-01-21 00:00:00,Ok buy,96.3
76,intc,2022-01-21 00:00:00,Ok buy,52.04
77,nflx,2022-01-21 00:00:00,Buy,397.5
78,tsla,2022-01-21 00:00:00,Buy,943.9
79,amzn,2022-01-21 00:00:00,Ok buy,2852.86
80,nvda,2022-01-21 00:00:00,Buy,233.74
81,baba,2022-01-24 00:00:00,Ok buy,120.37
82,ge,2022-01-24 00:00:00,Ok buy,96.91
83,intc,2022-01-24 00:00:00,Ok buy,51.94
84,nflx,2022-01-24 00:00:00,Ok buy,51.94
85,tsla,2022-01-24 00:00:00,Buy,930.0
86,amzn,2022-01-24 00:00:00,Ok buy,2890.88
87,nvda,2022-01-24 00:00:00,Buy,233.72
88,baba,2022-01-25 00:00:00,Ok buy,119.14
89,ge,2022-01-25 00:00:00,Ok buy,91.11
90,intc,2022-01-25 00:00:00,Ok buy,51.0
91,nflx,2022-01-25 00:00:00,Ok buy,51.0
92,tsla,2022-01-25 00:00:00,Buy,918.4
93,amzn,2022-01-25 00:00:00,Ok buy,2799.72
94,nvda,2022-01-25 00:00:00,Buy,223.24
95,baba,2022-01-26 00:00:00,Ok buy,113.37
96,ge,2022-01-26 00:00:00,Ok buy,89.32
97,intc,2022-01-26 00:00:00,Ok buy,51.69
98,nflx,2022-01-26 00:00:00,Ok buy,51.69
99,tsla,2022-01-26 00:00:00,Buy,937.41
100,amzn,2022-01-26 00:00:00,Ok buy,2777.45
101,nvda,2022-01-26 00:00:00,Buy,227.72
102,cmcsa,2022-01-26 00:00:00,Ok buy,48.46
103,msft,2022-01-26 00:00:00,Buy,296.71
104,baba,2022-01-27 00:00:00,Ok buy,111.79
105,ge,2022-01-27 00:00:00,Ok buy,89.9
106,intc,2022-01-27 00:00:00,Ok buy,48.05
107,nflx,2022-01-27 00:00:00,Ok buy,48.05
108,tsla,2022-01-27 00:00:00,Buy,829.1
109,amzn,2022-01-27 00:00:00,Ok buy,2792.75
110,nvda,2022-01-27 00:00:00,Buy,219.44
111,cmcsa,2022-01-27 00:00:00,Ok buy,48.01
112,msft,2022-01-27 00:00:00,Buy,299.84
113,baba,2022-01-28 00:00:00,Ok buy,115.23
114,ge,2022-01-28 00:00:00,Ok buy,92.1
115,intc,2022-01-28 00:00:00,Ok buy,47.73
116,nflx,2022-01-28 00:00:00,Ok buy,47.73
117,tsla,2022-01-28 00:00:00,Buy,846.35
118,amzn,2022-01-28 00:00:00,Ok buy,2879.56
119,nvda,2022-01-28 00:00:00,Buy,228.4
120,cmcsa,2022-01-28 00:00:00,Ok buy,49.72
121,msft,2022-01-28 00:00:00,Buy,308.26
122,baba,2022-01-31 00:00:00,Sell,125.79
123,ge,2022-01-31 00:00:00,Ok buy,94.48
124,intc,2022-01-31 00:00:00,Ok buy,48.82
125,nflx,2022-01-31 00:00:00,Ok buy,48.82
126,tsla,2022-01-31 00:00:00,Buy,936.72
127,amzn,2022-01-31 00:00:00,Ok buy,2991.47
128,nvda,2022-01-31 00:00:00,Buy,244.86
129,cmcsa,2022-01-31 00:00:00,Ok buy,49.99
130,msft,2022-01-31 00:00:00,Ok sell,310.98
131,baba,2022-02-01 00:00:00,Sell,127.22
132,ge,2022-02-01 00:00:00,Ok sell,97.95
133,intc,2022-02-01 00:00:00,Ok buy,48.95
134,nflx,2022-02-01 00:00:00,Ok buy,48.95
135,tsla,2022-02-01 00:00:00,Buy,931.25
136,amzn,2022-02-01 00:00:00,Ok buy,3023.87
137,nvda,2022-02-01 00:00:00,Buy,246.38
138,cmcsa,2022-02-01 00:00:00,Ok buy,49.94
139,msft,2022-02-01 00:00:00,Ok sell,308.76
140,aapl,2022-02-01 00:00:00,Ok sell,174.61
141,baba,2022-02-02 00:00:00,Ok buy,122.88
142,ge,2022-02-02 00:00:00,Ok buy,122.88
143,intc,2022-02-02 00:00:00,Ok buy,49.51
144,nflx,2022-02-02 00:00:00,Ok buy,49.51
145,tsla,2022-02-02 00:00:00,Buy,905.66
146,amzn,2022-02-02 00:00:00,Ok buy,3012.25
147,nvda,2022-02-02 00:00:00,Buy,252.42
148,cmcsa,2022-02-02 00:00:00,Ok buy,49.99
149,msft,2022-02-02 00:00:00,Ok sell,313.46
150,aapl,2022-02-02 00:00:00,Ok sell,175.84
151,baba,2022-02-03 00:00:00,Ok buy,123.47
152,ge,2022-02-03 00:00:00,Sell,98.32
153,intc,2022-02-03 00:00:00,Ok buy,48.28
154,nflx,2022-02-03 00:00:00,Ok buy,48.28
155,tsla,2022-02-03 00:00:00,Buy,891.14
156,amzn,2022-02-03 00:00:00,Ok buy,2776.91
157,nvda,2022-02-03 00:00:00,Buy,239.48
158,cmcsa,2022-02-03 00:00:00,Ok buy,49.64
159,msft,2022-02-03 00:00:00,Buy,301.25
160,aapl,2022-02-03 00:00:00,Ok sell,172.9
161,baba,2022-02-04 00:00:00,Ok buy,122.22
162,ge,2022-02-04 00:00:00,Sell,99.01
163,intc,2022-02-04 00:00:00,Ok buy,48.01
164,nflx,2022-02-04 00:00:00,Ok buy,410.17
165,tsla,2022-02-04 00:00:00,Buy,923.32
166,amzn,2022-02-04 00:00:00,Ok sell,3152.79
167,nvda,2022-02-04 00:00:00,Buy,243.19
168,cmcsa,2022-02-04 00:00:00,Buy,243.19
169,msft,2022-02-04 00:00:00,Buy,305.94
170,aapl,2022-02-04 00:00:00,Ok sell,172.39
171,baba,2022-02-07 00:00:00,Ok buy,114.82
172,ge,2022-02-07 00:00:00,Sell,99.9
173,intc,2022-02-07 00:00:00,Ok buy,48.18
174,nflx,2022-02-07 00:00:00,Ok buy,402.1
175,tsla,2022-02-07 00:00:00,Buy,907.34
176,amzn,2022-02-07 00:00:00,Ok sell,3158.71
177,nvda,2022-02-07 00:00:00,Buy,247.28
178,cmcsa,2022-02-07 00:00:00,Ok buy,48.86
179,msft,2022-02-07 00:00:00,Buy,300.95
180,aapl,2022-02-07 00:00:00,Ok sell,171.66
181,baba,2022-02-08 00:00:00,Ok buy,121.9
182,ge,2022-02-08 00:00:00,Sell,99.31
183,intc,2022-02-08 00:00:00,Ok buy,48.81
184,nflx,2022-02-08 00:00:00,Ok buy,403.53
185,tsla,2022-02-08 00:00:00,Buy,922.0
186,amzn,2022-02-08 00:00:00,Ok sell,3228.27
187,nvda,2022-02-08 00:00:00,Ok sell,251.08
188,cmcsa,2022-02-08 00:00:00,Ok buy,49.21
189,msft,2022-02-08 00:00:00,Buy,304.56
190,aapl,2022-02-08 00:00:00,Ok sell,174.83
191,baba,2022-02-09 00:00:00,Sell,126.5
192,ge,2022-02-09 00:00:00,Sell,99.25
193,intc,2022-02-09 00:00:00,Ok buy,49.91
194,nflx,2022-02-09 00:00:00,Ok buy,412.89
195,tsla,2022-02-09 00:00:00,Buy,932.0
196,amzn,2022-02-09 00:00:00,Ok sell,3223.79
197,nvda,2022-02-09 00:00:00,Ok sell,267.05
198,cmcsa,2022-02-09 00:00:00,Ok buy,49.77
199,msft,2022-02-09 00:00:00,Ok sell,311.21
200,aapl,2022-02-09 00:00:00,Ok sell,176.28
201,baba,2022-02-10 00:00:00,Ok buy,123.98
202,ge,2022-02-10 00:00:00,Sell,98.79
203,intc,2022-02-10 00:00:00,Ok buy,48.86
204,nflx,2022-02-10 00:00:00,Ok buy,406.27
205,tsla,2022-02-10 00:00:00,Buy,904.55
206,amzn,2022-02-10 00:00:00,Ok sell,3180.07
207,nvda,2022-02-10 00:00:00,Ok sell,258.24
208,cmcsa,2022-02-10 00:00:00,Ok buy,48.92
209,msft,2022-02-10 00:00:00,Buy,302.38
210,aapl,2022-02-10 00:00:00,Ok sell,172.12
