loc_rowid,epic_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,st_rad,st_raderr1,st_raderr2,st_radlim,st_kep,st_keperr,st_keplim,st_k2,st_k2err,st_k2lim
1,EPIC 201092629,EPIC 201092629.01,K2-241 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,26.81990000,0.00245000,-0.00247000,0,2457584.206300,0.003500,-0.003400,0,43.300000,3.800000,-9.900000,0,0.03120,0.00230,-0.00120,0,2.550,0.180,-0.100,0,,,,,11.858,,0,9.933,0.023,0
2,EPIC 201102594,EPIC 201102594.01,K2-242 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,6.51389000,0.00082000,-0.00083000,0,2457586.240000,0.005400,-0.005400,0,22.100000,3.800000,-5.600000,0,0.06330,0.00510,-0.00440,0,2.540,0.210,-0.190,0,,,,,15.615,,0,11.777,0.024,0
3,EPIC 201110617,EPIC 201110617.01,K2-156 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,0,0.81314900,0.00005000,-0.00004900,0,2457583.140930,0.002797,-0.002788,0,4.420602,0.671284,-1.136385,0,0.01704,0.00139,-0.00114,0,1.144,0.100,-0.083,0,0.62,0.02,-0.02,0,12.947,,0,10.391,0.023,0
4,EPIC 201110617,EPIC 201110617.01,K2-156 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,0.81314000,0.00007000,-0.00008000,0,2457583.142700,0.004100,-0.003800,0,4.100000,0.600000,-0.900000,0,0.01610,0.00140,-0.00100,0,1.150,0.100,-0.070,0,,,,,12.947,,0,10.391,0.023,0
5,EPIC 201111557,EPIC 201111557.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CANDIDATE,,10,0,2.30236800,0.00010500,-0.00010300,0,2457583.162060,0.002087,-0.002129,0,12.619867,2.838328,-8.018827,0,0.01692,0.00674,-0.00148,0,1.313,0.524,-0.121,0,0.71,0.02,-0.02,0,11.363,,0,9.220,0.019,0
6,EPIC 201111557,EPIC 201111557.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CANDIDATE,,10,1,2.30183000,0.00028000,-0.00030000,0,2457583.168800,0.005200,-0.005200,0,11.800000,2.100000,-3.000000,0,0.01440,0.00140,-0.00100,0,1.120,0.110,-0.080,0,,,,,11.363,,0,9.220,0.019,0
7,EPIC 201126503,EPIC 201126503.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,1.19474880,,,0,2456810.382000,,,0,,,,,0.06005,,,0,4.190,,,0,0.57,,,0,17.275,,0,14.230,0.070,0
8,EPIC 201127519,EPIC 201127519.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CANDIDATE,,10,1,6.17887000,0.00007000,-0.00007000,0,2457585.547300,0.000500,-0.000500,0,18.100000,0.200000,-0.600000,0,0.10580,0.00110,-0.00070,0,8.840,0.140,-0.130,0,,,,,11.558,,0,9.430,0.021,0
9,EPIC 201127519,EPIC 201127519.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CANDIDATE,,10,0,6.17836900,0.00019500,-0.00017200,0,2457585.551310,0.001116,-0.001211,0,17.277258,1.123995,-2.045780,0,0.11511,0.00492,-0.00336,0,9.913,0.529,-0.362,0,0.79,0.03,-0.02,0,11.558,,0,9.430,0.021,0
10,EPIC 201128338,EPIC 201128338.01,K2-152 b,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,32.64790000,0.01141000,-0.01483000,0,2457608.622200,0.013500,-0.007300,0,58.800000,2.600000,-2.900000,0,0.03440,0.00370,-0.00370,0,2.290,0.250,-0.240,0,,,,,13.114,,0,10.096,0.021,0
11,EPIC 201130233,EPIC 201130233.01,K2-157 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,1,0.36525700,0.00002900,-0.00002900,0,2457582.823890,0.003237,-0.003292,0,1.876041,0.317378,-0.379152,0,0.01105,0.00143,-0.00097,0,1.055,0.147,-0.098,0,0.88,0.05,-0.03,0,12.604,,0,10.980,0.023,0
